word_count,url
0,https://100xfounder.com/get-featured
0,https://100xfounder.com/interview-questionnaire
0,https://100xfounder.com/pricing
17,https://100xfounder.com/topics
33,https://100xfounder.com/authors
44,https://100xfounder.com/guest-post-order
48,https://100xfounder.com/countries/tier/tier_3
59,https://100xfounder.com/funding-rounds
66,https://100xfounder.com/guest-post-marketplace
67,https://100xfounder.com/about-newsroom
67,https://100xfounder.com/contact-newsroom
77,https://100xfounder.com/corrections-policy
79,https://100xfounder.com/methodology
90,https://100xfounder.com/stages
96,https://100xfounder.com/blog
111,https://100xfounder.com/editorial-policy
114,https://100xfounder.com/startups/funding-round
150,https://100xfounder.com/startups/salary-equity
173,https://100xfounder.com/startups/jobs
194,https://100xfounder.com/countries/tier/tier_2
212,https://100xfounder.com/about
222,https://100xfounder.com/industries/analytics
226,https://100xfounder.com/industries/crypto
233,https://100xfounder.com/industries/hardware
246,https://100xfounder.com/countries/tier/tier_1
324,https://100xfounder.com/industries/e-commerce
340,https://100xfounder.com/industries/construction
376,https://100xfounder.com/industries/cybersecurity
406,https://100xfounder.com/stages/series-f
424,https://100xfounder.com/industries/power
434,https://100xfounder.com/startups/location
487,https://100xfounder.com/stages/series-e
492,https://100xfounder.com/industries/enterprise-software
